7/18/2021 7:07:45 AM Se conecto con ip:168.196.245.137
7/18/2021 7:07:52 AM /TELEPLOC a x:905 Y:1043 Map:1
7/18/2021 7:07:54 AM /TELEPLOC a x:905 Y:1043 Map:1
7/18/2021 7:07:59 AM /TELEPLOC a x:975 Y:989 Map:1
7/18/2021 7:08:02 AM /TELEPLOC a x:975 Y:989 Map:1
7/18/2021 7:08:22 AM /TELEPLOC a x:975 Y:989 Map:1
7/18/2021 7:08:30 AM /TELEPLOC a x:1009 Y:991 Map:1
7/18/2021 7:08:35 AM /TELEPLOC a x:1023 Y:983 Map:1
7/18/2021 7:08:37 AM /TELEPLOC a x:1023 Y:983 Map:1
7/18/2021 7:08:40 AM /TELEPLOC a x:1023 Y:983 Map:1
7/18/2021 7:08:40 AM /TELEPLOC a x:1023 Y:983 Map:1
7/18/2021 7:08:44 AM /TELEPLOC a x:1023 Y:983 Map:1
7/18/2021 7:08:45 AM /TELEPLOC a x:1023 Y:983 Map:1
7/18/2021 7:08:46 AM /TELEPLOC a x:1023 Y:983 Map:1
7/18/2021 7:08:46 AM /TELEPLOC a x:1023 Y:983 Map:1
7/18/2021 7:08:47 AM /TELEPLOC a x:1023 Y:983 Map:1
7/18/2021 7:08:48 AM /TELEPLOC a x:1023 Y:983 Map:1
7/18/2021 7:08:49 AM /TELEPLOC a x:1023 Y:983 Map:1
7/18/2021 7:08:51 AM /TELEPLOC a x:1023 Y:983 Map:1
7/18/2021 8:16:52 AM Se conecto con ip:168.196.245.137
7/18/2021 8:16:57 AM /TELEPLOC a x:179 Y:1239 Map:1
7/18/2021 8:17:00 AM /TELEPLOC a x:179 Y:1239 Map:1
7/18/2021 8:17:02 AM /TELEPLOC a x:179 Y:1239 Map:1
7/18/2021 8:17:02 AM /TELEPLOC a x:179 Y:1239 Map:1
7/18/2021 8:17:04 AM /TELEPLOC a x:179 Y:1239 Map:1
7/18/2021 8:17:08 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:17:10 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:17:11 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:17:17 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:22 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:23 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:23 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:24 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:25 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:26 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:27 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:27 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:28 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:28 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:28 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:29 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:29 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:30 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:30 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:31 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:31 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:32 AM /TELEPLOC a x:903 Y:1054 Map:1
7/18/2021 8:18:33 AM /TELEPLOC a x:903 Y:1054 Map:1
